currentCompany,currentDesignation,skills,applicantId,functionalArea,totalWorkExp,profile_text,preprocessed_profile_text,top_job_matches
Rams Creative Technologies Pvt Ltd,UxUi Product Designer,"{""UIUX design"","" Web design"",""Application design"",""Poster design""}",AIBV3257,Design,28.0,"Rams Creative Technologies Pvt Ltd UxUi Product Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "",  , W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 28.0 years of experience",ram creative technology pvt ltd uxui product designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 191 247]
no,no,{ReactJS},AIAM6094,Development,0.0,"no no {, R, e, a, c, t, J, S, } 0.0 years of experience",r e c j year experience,[ 19 215  70]
Mrudul Technologies Pvt Ltd,UIUX Designer,"{""UIUX design"","" Web design"",""Application design"",""Poster design""}",AIVB5204,Design,39.0,"Mrudul Technologies Pvt Ltd UIUX Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "",  , W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 39.0 years of experience",mrudul technology pvt ltd uiux designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 247 198]
CM Cloud Control,ASSOCIATE UX DESIGNER,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AICS4965,Design,32.0,"CM Cloud Control ASSOCIATE UX DESIGNER {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 32.0 years of experience",cm cloud control associate ux designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 198 247]
Anvshn pvt ltd,UiUx Design,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AILJ5766,Design,42.0,"Anvshn pvt ltd UiUx Design {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 42.0 years of experience",anvshn pvt ltd uiux design u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[296 294  49]
Kinre,UIUX Designer,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AISP4238,Design,33.0,"Kinre UIUX Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 33.0 years of experience",kinre uiux designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 247 198]
Techthrive Solutions pvt ltd,UiUx Design,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AIJT2556,Design,26.0,"Techthrive Solutions pvt ltd UiUx Design {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 26.0 years of experience",techthrive solution pvt ltd uiux design u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[296 294 146]
NTT DATA Business Solutions Private Limited,Senior JIRA Administration,"{""Jira Administrator""}",AIHP2712,Admin,132.0,"NTT DATA Business Solutions Private Limited Senior JIRA Administration {, "", J, i, r, a,  , A, d, m, i, n, i, s, t, r, a, t, o, r, "", } 132.0 years of experience",ntt data business solution private limited senior jira administration j r n r r year experience,[107  24  53]
Fresher,Fresher,"{ACCOUNTING,""core accounts""}",AIMS1589,Accounts,0.0,"Fresher Fresher {, A, C, C, O, U, N, T, I, N, G, ,, "", c, o, r, e,  , a, c, c, o, u, n, t, s, "", } 0.0 years of experience",fresher fresher c c u n n g c r e c c u n year experience,[ 22 281 103]
InvenTech Info Solutions,Senior Software Engineer,"{""React native"",Javascript}",AIVM8935,Development,92.0,"InvenTech Info Solutions Senior Software Engineer {, "", R, e, a, c, t,  , n, a, t, i, v, e, "", ,, J, a, v, a, s, c, r, i, p, t, } 92.0 years of experience",inventech info solution senior software engineer r e c n v e j v c r p year experience,[120 262 246]
