jobTitle,position,description,skills,location,jobId,status,priority,priceType,workType,jobType,combined_text
Plant Maintenance Engineer,Plant Maintenance Engineer,"Read and understand the data from P&ID, PEFS, SLD, I/O list, line list, Cause & effect, Hazardous area classification, Alarm & Trip, F&G etc. Populating technical details from Various sources. Preparing Asset & maintenance plan data. Preparation of SPIR data. Bill of Material Build.
Immediate/30 days.
02 to 05 Years experience
Education : B.E or B.Tech - MECH/EEE/ECE/IE/ICE","{""Plant Maintenance""}",{Hyderabad},JDA&5399,Active,High,INR,Work from Office,Permanent,read understand data p id pefs sld list line list cause effect hazardous area classification alarm trip f g etc populating technical detail various source preparing asset maintenance plan data preparation spir data bill material build day year experience education plant maintenance
Adobe Analytics developer,AdobeAnalyticsdeveloper,"An understanding of the marketing technologies and their data and reporting capabilities.
Build of wireframes to present dashboards and reports in the best possible way to various different types of
stakeholders
Support managing standardization of BMC’s analytics reporting and dashboard capabilities
 Manage Quality Assurance and User Acceptance Testing the end-products and underlying data use
(correctness and completeness)
Work on all data collection platforms (website, video, advertising, social, CRM, etc.), identify and report
improvement areas, and provide support for any ad hoc report requests from stakeholders.
Provide performance analysis report with key highlights, insights &amp;amp; recommendations for future
Ability to translate data visualization requirements into wireframes and end-products for various internal
audiences.
Create data visualizations and business dashboards based on analytical data from multiple technologies.
","{""Adobe anaytics"",Agile,tableau,Marketo,""power  BI"",sprinkler}",{ChennaiBangaloreHyderabad},JDAA1476,Active,High,INR,Work from Office,Permanent,understanding marketing technology data reporting capability build wireframes present dashboard report best possible way various different type stakeholder support managing standardization bmc analytics reporting dashboard capability manage quality assurance user acceptance testing underlying data use correctness completeness work data collection platform website video advertising social crm etc identify report improvement area provide support ad hoc report request stakeholder provide performance analysis report key highlight insight amp amp recommendation future ability translate data visualization requirement wireframes various internal audience create data visualization business dashboard based analytical data multiple technology adobe anaytics agile tableau marketo power bi sprinkler
AEM architect,Aemarchitect,"To analyze, understand the client’s business use cases and technical requirements and be able to
design, build &amp; integrate AEM Platform Templates,  
Components, Services to internal and external applications.","{JIRA,Confluence,AEM}",{bangalore},JDAA5139,Active,Low,INR,Work from Office,Permanent,analyze understand client business use case technical requirement able design build amp integrate aem platform template component service internal external application jira confluence aem
Azure Administrator ,Azure Administrator ,"1.	Architecture and Design for large scale Azure hybrid cloud deployments with Azure Kubernetes Services and Azure Public Cloud  2.	Provision Dev/Test/Prod Infrastructure as code using Azure CLI, Powershell, Terraform 3.	Define the architecture for high availability, data redundancy, data loss prevention, site recovery and resilience 4.	Define and implement the architecture for high throughput and scale with capacity planning, load balancing strategies 5.	Define and implement the security architecture to ensure data security at rest and in transit, application security, key management, identity management, authentication and authorization with OIDC and OAuth2, infrastructure security with Azure VNets, NSGs, UDR, etc. 6.	Define the log analytics and monitoring architecture using Azure Monitor, Azure Application Insights 7.	Deploy infrastructure, applications and software-defined networking through CI/CD pipeline using Azure DevOps Certifications (One of the following certifications is r","{""Azure Administrator ""}","{""Pan India""}",JDAA6310,Active,High,INR,Work from Office,Permanent,architecture design large scale azure hybrid cloud deployment azure kubernetes service azure public cloud provision infrastructure code using azure cli powershell terraform define architecture high availability data redundancy data loss prevention site recovery resilience define implement architecture high throughput scale capacity planning load balancing strategy define implement security architecture ensure data security rest transit application security key management identity management authentication authorization oidc infrastructure security azure vnets nsgs udr etc define log analytics monitoring architecture using azure monitor azure application insight deploy infrastructure application networking pipeline using azure devops certification one following certification r azure administrator
AEM architect,Aemarchitect,"Should have experience in java, OSGI, Components, workflows, templates, Schedulers, fragments, ","{sling,jackrabbit,OSGI,felix,JCR}",{bangalore},JDAA7883,Active,High,INR,Work from Office,Permanent,experience java osgi component workflow template scheduler fragment sling jackrabbit osgi felix jcr
Assistant Brand Manager,Assistant Brand Manager,"Classification: All - Finance / Accounts / Investment Banking

Skills Required: Sales,Social Media Marketing,Branding,Digital Marketing,Market Analysis

Job Description
Skills needed- male candidates only, FMCG and FMCD Industry, Brand Managment, digital marketing, ATL/BTL, social media marketing, sales, communication skills, market analysis.
Location- Gurgaon (WFO)
Experience- 2-7 Years
Relevant experience- 2 years is needed
Budget- upto 9 LPA
Notice period- Immediate-30 Days (max)
Interview process- 1 virtual + 1 F2F round (need candidate from Delhi NCR only)

Job details: -
- Designing Marketing ATL/BTL activities in accordance with the Market Analysis Marketing activation and execution of Activities developed for achieving ROI as per the Business objectives.
- Handling all ATL/BTL marketing activities with ownership and responsibility.
- Marketing communication that uses mass media channels such as television, radio, print, outdoor advertising, and online media to reach a wide audience.
- Identifying & ensuring that ATL/BTL activity are done as defined & documented.
- Implementing and tracking Marketing programs for distributors and retailers designed to increase Sales, Category Presence, Brand Visibility and Brand Awareness.
- Monitoring and evaluating Marketing Programs and ATL/BTL Campaigns and activities to measure effectiveness and recommendation of improvements as needed.
- To successfully coordinate for and represent the company in onsite/offsite meetings and prestigious annual industry trade shows.
- To create congenial environment for team members and develop healthy work atmosphere.
- To coordinate with vendors and agencies for ATL/BTL activity.","{Sales,""Social Media Marketing"",Branding,""Digital Marketing"",""Market Analysis""}",{Ghargaon},JDAB3826,active,Medium,INR,Work from Office,Permanent,classification finance account investment banking skill required sale social medium marketing branding digital marketing market analysis job description skill male candidate fmcg fmcd industry brand managment digital marketing social medium marketing sale communication skill market analysis gurgaon wfo year relevant year needed upto lpa notice day max interview virtual round need candidate delhi ncr job detail designing marketing activity accordance market analysis marketing activation execution activity developed achieving roi per business objective handling marketing activity ownership responsibility marketing communication us mass medium channel television radio print outdoor advertising online medium reach wide audience identifying ensuring activity done defined documented implementing tracking marketing program distributor retailer designed increase sale category presence brand visibility brand awareness monitoring evaluating marketing program campaign activity measure effectiveness recommendation improvement needed successfully coordinate represent company meeting prestigious annual industry trade show create congenial environment team member develop healthy work atmosphere coordinate vendor agency activity sale social medium marketing branding digital marketing market analysis
Azure BI Developer - Excellerate,Azure BI Developer - Excellerate,"Resource must have 5+ years of hands on experience in Azure Cloud development (ADF)
Mandatory Strong in Azure SQL and good to have knowledge on Synapse / Analytics Experience in working on Agile Project and familiar with Scrum/SAFe ceremonies.
Defines, designs, develops and test software components/applications using Microsoft Azure- Databricks, ADF, ADL, Hive, Python, Databricks, SparkSql, PySpark.
Expertise in Azure Data Bricks, ADF, ADL, Hive, Python, Spark, PySpark
Strong T-SQL skills with experience in Azure SQL DW
Experience handling Structured and unstructured datasets
Experience in Data Modeling and Advanced SQL techniques
Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.
Good exposure in Application Development.","{Azure,"" Synapse"","" ADF""}",{Hyderabad},JDAB7664,Active,High,INR,Work from Office,Permanent,resource must year hand experience azure cloud development adf mandatory strong azure sql good knowledge synapse analytics experience working agile project familiar ceremony defines design develops test software using microsoft databricks adf adl hive python databricks sparksql pyspark expertise azure data brick adf adl hive python spark pyspark strong skill experience azure sql dw experience handling structured unstructured datasets experience data modeling advanced sql technique experience implementing azure data factory pipeline using latest technology technique good exposure application development azure synapse adf
Angular Developer,Angular Developer,"Requirements
Hands-on experience in UI development using Angular.
Ability to translate UI designs into fully functional interactive prototypes.
Hands-on experience in working on Rest API based communications.
Hands-on experience in developing Web Socket.
Hands-on experience in HTML5, CSS3, JS libraries like Bootstrap.
Knowledge of SVN/Git repository.
Data visualizations using canvas or SVG, High chart, D3.js, etc.
Experience working with Jasmine, Gulp, Web Pack.
Ability to work closely with UX research and design teams.
Understanding of cross-browser compatibility and accessibility standards (W3C Guidelines).
Awareness of UI design principles and best practices.
Experience working with CSS pre-processors (SASS), Material Design.
Hands on experience in IONIC Framework would be an added advantage.","{Angular,""Rest API""}",{Hyderabad},JDAD1928,active,High,INR,Work from Office,Permanent,requirement experience ui development using angular ability translate ui design fully functional interactive prototype experience working rest api based communication experience developing web socket experience j library like bootstrap knowledge repository data visualization using canvas svg high chart etc experience working jasmine gulp web pack ability work closely ux research design team understanding compatibility accessibility standard guideline awareness ui design principle best practice experience working cs sas material design hand experience ionic framework would added advantage angular rest api
Angular Developer,Angular Developer,"Minimum Qualifications:
Bachelor's degree in computer science engineering or equivalent practical experience.
Minimum 3 years of work experience in end to end application development.
Hands on experience working in software development with one or more languages (e.g. Angular, Java, Javascript, Typescript)
Excellent command over spoken and written English required 

Preferred Qualifications:
Candidates must have experience working in server backend systems as well as web APIs.
Must be open to learn other programming languages as needed.
Must have an ability to share knowledge via mentoring, reviewing code and reviewing design.
Must have a good hold on working with Full Stack Development software and web applications.

Skills Required
Typescript
Javascript
Angular
Java
Reactjs
Any SQL databases ( MySQL, MSSQL, PostgreSQL, SQL server)",{Angular},{Hyderabad},JDAD1983,active,Hot,INR,Work from Office,Permanent,minimum qualification bachelor degree computer science engineering equivalent practical experience minimum year work experience end end application development hand experience working software development one language angular java javascript typescript excellent command spoken written english required preferred qualification candidate must experience working server backend system well web apis must open learn programming language needed must ability share knowledge via mentoring reviewing code reviewing design must good hold working full stack development software web application skill required typescript javascript angular java reactjs sql database mysql mssql postgresql sql server angular
Application Developer UNIX Shell ,ApplicationDeveloperOpensource,"Should have max 5 to 6 yrs experience (7B band)
Should have strong linux base OS 
Should have strong database exp with Oracle with wrkng knowledge of Shell scripting and PL/SQL","{""Shell scripting"",Oracle,C++,Pl/sql}",{ChennaiBangalorePune},JDAD3913,inActive,High,INR,Work from Office,Permanent,max yr experience band strong linux base o strong database exp oracle wrkng knowledge shell scripting shell scripting oracle
